"Timestamp","Eigenschaft #1","Eigenschaft #2","Eigenschaft #3","Eigenschaft #4","Eigenschaft #1","Eigenschaft #2","Eigenschaft #3","Eigenschaft #4","Wie alt sind Sie?","Was ist Ihr Geschlecht?","Wenn nächsten Sonntag Wahl wäre, welche Partei würden Sie wählen?"
"2022/02/14 10:40:56 AM GMT+1","konservativ","männlich","national","alt","hängt vom Kontext ab: will der Politiker das ändern oder beibehalten? Nicht klar","x","y","z","44","keine Angabe","keine Angabe"
"2022/02/14 12:12:53 PM GMT+1","rechts/konservativ","heuchlerisch","ambitioniert","beherrscht","rechts/konservativ","patriotisch","dominant","kalkulierend","29","weiblich","Linke;Grüne"
"2022/02/14 12:15:31 PM GMT+1","Zukunftsorientiert","Familienmensch","Unkonventionell","Weich","Streng","Abweisend","Verschlossen","Stur","30","männlich","SPD"
"2022/02/14 12:20:43 PM GMT+1","Konservativ","Politische Mitte","mittleren Alters","Männlich","Konservativ","Politisch mittig bis rechts","Mann mittleren Alters","inkompetent","29","weiblich","Linke;Grüne"
"2022/02/14 12:22:20 PM GMT+1","Familienbewusstsein","Kinderlieb","Aufrichtig","Freundlich","Nationalstolz","Egoistisch","Streng","Unfreundlich","27","weiblich","Linke"
"2022/02/14 12:22:28 PM GMT+1","kompetent","verständnisvoll","weitsichtig","erfahren","konservativ","streng","kompetent","erfahren","35","männlich","CDU/CSU"
"2022/02/14 12:22:32 PM GMT+1","progressiv","klug","engagiert","mitdenkend","konservativ","patriotisch","stolz ","selbstsicher ","19","weiblich","Grüne"
"2022/02/14 12:23:16 PM GMT+1","Altruistisch","Anpassungsfähig","ermutigend","fair","streng","offen","realistisch","sachlich","19","weiblich","Grüne"
"2022/02/14 12:24:00 PM GMT+1","weitsichtig","sozial","vernünftig","konservativ","national","streng","konservativ","vernünftig","29","männlich","FDP"
"2022/02/14 12:24:41 PM GMT+1","zulunftsorientiert","konservativ","mag Kinder","fördernd","konservativ","streng","mahnend","deutsch","25","weiblich","Grüne"
"2022/02/14 12:26:00 PM GMT+1","zukunftsorientiert","vorrausschauend","realistisch","besonnen","pragmatisch","regelorientiert","verängstigt","verärgert","22","weiblich","Grüne"
"2022/02/14 12:26:57 PM GMT+1","zukunftsorientiert","verantwortungsvoll","nett","glaubhaft","konservativ","altmodisch","kleinkariert","unsympathisch","26","männlich","SPD"
"2022/02/14 12:27:00 PM GMT+1","zuverlässig","zuversichtlich","stärkend","zusammenhaltend","streng","unsympathisch","oberflächlich","verschlossen","22","weiblich","Grüne"
"2022/02/14 12:27:33 PM GMT+1","zukunftsorientiert","sozial","verantwortungsvoll","realistisch","realistisch","ehrlich","offen","analytisch","40","männlich","Linke"
"2022/02/14 12:28:48 PM GMT+1","Vorausschauend","Zukunftsgewand","Ehrlich","Fokussiert","Abweisend","Schroff","Unmenschlich","Geizig","34","männlich","CDU/CSU"
"2022/02/14 12:29:19 PM GMT+1","pathetisch","nichtssagend","zustimmungheischend","durchschnittlich","ehrlich","realitätsnah","""Volksstimmung"" berücksichtigend","mir fällt nichts ein","53","weiblich","Grüne"
"2022/02/14 12:29:31 PM GMT+1","Zukunftsorientiert","Familienmensch","Kinderlieb","Bodenständig","Konservativ","Traditionell","Streng","Nachdenklich","39","weiblich","FDP"
"2022/02/14 12:29:46 PM GMT+1","realistisch","bildungsinteressiert","fokussiert","fokussiert","realistisch","streng","konservativ","ausschließend","24","weiblich","Grüne"
"2022/02/14 12:30:15 PM GMT+1","Kinderlieb","Christlich","Langweilig","Konservativ","Rechtspolitisch","Konservativ","Sicherheitsorientiert","Zwanghaft","34","weiblich","Grüne"
"2022/02/14 12:30:34 PM GMT+1","Bürgerlich","Zukunftsorientiert","Familiär","offen","konservativ","christlich","national","engstirnig","29","männlich","Grüne"
"2022/02/14 12:30:46 PM GMT+1","konservativ","langweilig","anständig","einfallslos","streng","fordernd","bestimmt","konservativ","50","weiblich","Grüne"
"2022/02/14 12:31:09 PM GMT+1","souverän","redegewandt","intelligent","verlässlich","informiert","intelligent","rechtschaffen","ehrlich","25","weiblich","SPD"
"2022/02/14 12:31:36 PM GMT+1","visionär","zukunftsweisend","vorausschauend","ökonomisch","konservativ","patriotistisch","unfreundlich","bürokratisch","26","männlich","Grüne"
"2022/02/14 12:31:50 PM GMT+1","Mitdenkend","Umweltbewusst","Intelligent","Fair","Konservativ","Strikt","Christlich","An Regeln haltend","20","weiblich","Linke"
"2022/02/14 12:32:43 PM GMT+1","Weitsichtig","Nachhaltig","Patriotisch","Sozial","Realistisch","Patriotisch","Sozial","juristisch","57","männlich","SPD"
"2022/02/14 12:33:31 PM GMT+1","Progressiv","Einfühlsam","Altruistisch","Zukunftsbedacht","Konservativ","Opportunist","Rechts","Xenophob","30","männlich","Grüne"
"2022/02/14 12:33:42 PM GMT+1","Zukunftsorientiert","Jung","Beifallheischend","Logisch","Realistisch","Faktenbasiert","Neutral","Kühl","22","diverse","Volt"
"2022/02/14 12:34:58 PM GMT+1","nationalistisch","Zukunftsorientiert","Familienorientiert","konservativ","Konservativ","nationalistisch","abgrenzend","eigennützig","37","männlich","Grüne"
