session_id;participant_id;status;started_datetime;completed_date_time;time_taken;age;num_approvals;num_rejections;prolific_score;reviewed_at_datetime;entered_code;Country of Birth;Current Country of Residence;Employment Status;First Language;Living abroad;Nationality;Sex;Student Status
620a386c60fe31e7952cf8fb;5ff5b79027696804bc79d938;APPROVED;2022-02-14 11:09:37.920000;2022-02-14 11:12:47.934000;190.014;30;192;1;100;2022-02-14 11:56:13.350000;91855C54;Germany;Germany;DATA EXPIRED;German;No;Germany;Female;DATA EXPIRED
620a398c58c29702590ca902;5fe643de0ad48b4727232bc1;APPROVED;2022-02-14 11:14:22.864000;2022-02-14 11:15:37.393000;74.529;30;298;3;99;2022-02-14 11:53:59.606000;91855C54;Germany;Germany;DATA EXPIRED;German;No;Germany;Male;DATA EXPIRED
620a39dbfb7129dc07d475e5;5f75986c7befb820e5497fe2;APPROVED;2022-02-14 11:15:42.360000;2022-02-14 11:21:52.107000;369.747;41;455;1;100;2022-02-14 11:56:13.283000;91855C54;Germany;Germany;Full-Time;German;No;Germany;Male;No
620a39e931867a003427c4bf;601acb2067409b31ed73ed63;APPROVED;2022-02-14 11:15:56.506000;2022-02-14 11:20:48.648000;292.142;29;322;1;100;2022-02-14 11:56:13.218000;91855C54;Germany;Germany;Part-Time;German;No;Germany;Female;Yes
620a39fb320217d2dc53b5dd;61179ef5a3e04ffbcff38f7b;RETURNED;2022-02-14 11:16:14.725000;;6190.329264;19;15;0;100;;;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED
620a3a6c733897deff99f303;5d6fda2bde432b0019b19ba7;APPROVED;2022-02-14 11:18:07.091000;2022-02-14 11:20:50.844000;163.753;55;450;0;100;2022-02-14 11:56:13.117000;91855C54;Germany;Germany;Full-Time;German;No;Germany;Male;DATA EXPIRED
620a3ad9efc7a7d2ba620152;610c46d55c57100f5923f2ac;APPROVED;2022-02-14 11:20:02.412000;2022-02-14 11:23:23.336000;200.924;19;126;1;100;2022-02-14 11:56:13.057000;91855C54;Germany;Germany;DATA EXPIRED;German;No;Germany;Female;DATA EXPIRED
620a3ae0d7cfc15e5face9a2;5962799cb752840001ca478b;APPROVED;2022-02-14 11:20:12.016000;2022-02-14 11:22:19.736000;127.72;35;740;4;99;2022-02-14 11:53:59.446000;91855C54;Germany;Germany;DATA EXPIRED;German;No;Germany;Male;DATA EXPIRED
620a3ae76704f95c8475470f;56cb572b73cd5b0006f79acd;APPROVED;2022-02-14 11:20:07.010000;2022-02-14 11:22:24.657000;137.647;27;758;6;99;2022-02-14 11:53:59.512000;91855C54;Germany;Germany;Not in paid work (e.g. homemaker', 'retired or disabled);German;No;Germany;Male;No
620a3af6c6555c370cddd152;6153963f97c84ce267a3d5fc;RETURNED;2022-02-14 11:20:30.222000;;5934.916042;41;102;1;100;;;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED
