"Timestamp","Some people want to increase spending for new prisons to lock up domestic abusers.  Others would rather spend this money on education programs for adult human females, in order to help them identify early warning signs of abusive partnerships and to prevent domestic abuse.

What about you? If you had to choose, would you rather see this money spent on building new prisons or education programs?","Do you feel strongly or not very strongly about this?  ","On a scale from 1 to 7, where 1 means that it is a very poor description and 7 means that it is a very accurate description, how well do you think ""confused describes most transgender people?","On a scale from 1 to 7, where 1 means that it is a very poor description and 7 means that it is a very accurate description, how well do you think ""mentally ill"" describes most transgender people?","On a scale from 1 to 7, where 1 means that it is a very poor description and 7 means that it is a very accurate description, how well do you think ""dangerous"" describes most transgender people?","On a scale from 1 to 7, where 1 means that it is a very poor description and 7 means that it is a very accurate description, how well do you think ""frauds"" describes most transgender people?","On a scale from 1 to 7, where 1 means that it is a very poor description and 7 means that it is a very accurate description, how well do you think ""unnatural"" describes most transgender people?","On a scale from 1 to 7, where 1 means that it is a very poor description and 7 means that it is a very accurate description, how well do you think ""confused"" describes most cisgender people?","On a scale from 1 to 7, where 1 means that it is a very poor description and 7 means that it is a very accurate description, how well do you think ""mentally ill"" describes most cisgender people?","On a scale from 1 to 7, where 1 means that it is a very poor description and 7 means that it is a very accurate description, how well do you think ""dangerous"" describes most cisgender people?","On a scale from 1 to 7, where 1 means that it is a very poor description and 7 means that it is a very accurate description, how well do you think ""frauds"" describes most cisgender people?","On a scale from 1 to 7, where 1 means that it is a very poor description and 7 means that it is a very accurate description, how well do you think ""unnatural"" describes most cisgender people?","Do you feel that transgender people in your community are treated less fairly than cisgender people when looking for a new apartment?","Transgender people experience discrimination in sports more often than cisgender people. ","Street harassment occurs more often towards transgender people than cisgender people.","Transgender youth experiences bullying more often than their cisgender peers.","The education system in this country treats people fairly and equally.","Healthcare providers in our country can usually be trusted to treat everyone equally.","Over the last five years or so, would you say that the number of transgender people in our nation increased, decreased, or stayed about the same?","Of all the problems the country faces today, such as education, taxes and the environment, how would you rate the importance of discrimination of transgender people? Would you say it’s the most important, no more important than other problems, or less important than other problems facing the nation?","One of the big problems in this country is that we don’t give everyone an equal chance.","We shouldn’t worry so much about how equal people are in this country.","How old are you?","Do you consider yourself to be","What gender do you identify as?","Are you cisgender (same gender as was assigned at birth) or transgender (different gender than was assigned at birth)?"
"2024/08/21 3:51:35 PM GMT+1","Building new prisons","I feel not very strongly about this.","1","1","1","1","1","1","1","1","1","1","Yes","5","6","7","Strongly disagreee","Strongly disagreee","The number of trans people increased","It is no more important than other problems","Strongly agree","Strongly disagree","41","Straight or heterosexual","Woman","Cisgender"
"2024/08/21 3:54:09 PM GMT+1","Education programs","I feel very strongly about this.","1","7","1","1","1","1","4","4","4","4","Yes","7","4","4","Strongly disagreee","Strongly disagreee","The number of trans people increased","It is less important than other problems","Strongly agree","Strongly disagree","39","Bisexual","Man","Cisgender"
"2024/08/21 4:01:10 PM GMT+1","Education programs","I feel very strongly about this.","2","2","1","1","1","3","3","3","2","2","Yes","5","5","7","Strongly disagreee","Somewhat disagree","The number of trans people increased","It is no more important than other problems","Strongly agree","Strongly disagree","44","Straight or heterosexual","Woman","Cisgender"
"2024/08/21 4:03:37 PM GMT+1","Education programs","I feel not very strongly about this.","1","1","1","1","1","1","1","1","1","1","Yes","4","3","6","Strongly disagreee","Strongly disagreee","The number of trans people stayed about the same","It is no more important than other problems","Somewhat agree","Somewhat disagree","29","Bisexual","Woman","Cisgender"
"2024/08/21 4:06:51 PM GMT+1","Education programs","I feel very strongly about this.","1","1","1","1","1","1","1","1","1","1","Yes","7","7","7","Somewhat disagree","Strongly disagreee","The number of trans people increased","It is the most important problem","Somewhat disagree","Strongly disagree","31","Bisexual","Man","Cisgender"
"2024/08/21 4:09:29 PM GMT+1","Education programs","I feel very strongly about this.","1","1","1","1","1","1","1","1","1","1","Yes","6","7","7","Strongly disagreee","Strongly disagreee","The number of trans people increased","It is no more important than other problems","Strongly agree","Strongly disagree","30","Straight or heterosexual","Woman","Cisgender"
"2024/08/21 4:09:39 PM GMT+1","Education programs","I feel very strongly about this.","1","1","1","1","1","1","1","1","1","1","Yes","6","7","7","Somewhat disagree","Somewhat agree","The number of trans people stayed about the same","It is no more important than other problems","Strongly agree","Strongly disagree","62","Straight or heterosexual","Woman","Cisgender"
"2024/08/21 4:10:30 PM GMT+1","Education programs","I feel not very strongly about this.","2","1","1","1","2","1","1","1","1","1","No","4","6","5","Somewhat disagree","Strongly disagreee","The number of trans people increased","It is no more important than other problems","Somewhat agree","Somewhat disagree","22","Straight or heterosexual","Woman","Cisgender"
"2024/08/21 4:12:56 PM GMT+1","Building new prisons","I feel very strongly about this.","4","4","4","4","4","1","2","2","1","1","Yes","7","7","7","Strongly disagreee","Strongly disagreee","The number of trans people increased","It is no more important than other problems","Somewhat agree","Somewhat disagree","25","Straight or heterosexual","Woman","Cisgender"
"2024/08/21 4:14:38 PM GMT+1","Education programs","I feel not very strongly about this.","2","2","1","1","1","1","1","1","1","1","Yes","7","6","6","Somewhat agree","Somewhat agree","The number of trans people stayed about the same","It is no more important than other problems","Somewhat agree","Somewhat disagree","60","Straight or heterosexual","Woman","Cisgender"
