"Timestamp","Eigenschaft #1","Eigenschaft #2","Eigenschaft #3","Eigenschaft #4","Eigenschaft #1","Eigenschaft #2","Eigenschaft #3","Eigenschaft #4","Wie alt sind Sie?","Was ist Ihr Geschlecht?","Wenn nächsten Sonntag Wahl wäre, welche Partei würden Sie wählen?"
"2022/02/14 12:16:22 PM GMT+1","heuchlerisch","kalkulierend","ambitioniert","ehrlich","rechts/konservativ","dominant","weiß","unfreundlich","29","weiblich","Linke;Grüne"
"2022/02/14 12:16:38 PM GMT+1","Zukunftsorientiert","Familienmensch","Unkonventionell","Warm","Streng","Verschlossen","Abweisend","Kalt","30","männlich","SPD"
"2022/02/14 12:25:35 PM GMT+1","fürsorglich","zukunftsorientiert","vorausschauend","bedacht","konservativ","bestimmend ","anspruchsvoll","konkret","37","männlich","AfD"
"2022/02/14 12:26:02 PM GMT+1","sozialkompetent","teamfähig","überzeugend","vertrauenswürdig","wohlwollend","zielstrebig","vernünftig","souverän","19","weiblich","Grüne"
"2022/02/14 12:26:25 PM GMT+1","weiblich","gebildet","nett","kinderfreundlich","männlich","strikt","vorsichtig","beschützend","29","männlich","FDP"
"2022/02/14 12:28:35 PM GMT+1","zuversichtlich","weltoffen","stärkend","zukunftsorientiert","einschränkend","ausschließend","verschlossen","streng","22","weiblich","Linke"
"2022/02/14 12:30:08 PM GMT+1","Zukunftsgewand","Ehrlich","Zuverlässig","Weitsichtig","Schroff","Abweisend","Geizig","Unmenschlich","34","männlich","CDU/CSU"
"2022/02/14 12:30:39 PM GMT+1","kinderlieb","vorausschauend","sympathisch","bürgernahe","rassistisch","langweilig","bürokratisch","nationalistisch","26","männlich","Grüne"
"2022/02/14 12:32:58 PM GMT+1","souverän","intelligent","redegewandt","überlegt","ehrlich","informiert","intelligent","ehrlich","25","weiblich","SPD"
"2022/02/14 12:33:00 PM GMT+1","nichtssagend","phrasen dreschend","Zustimmung heischend","zukunftsorientiert","rechts","auf Stimmenfang","unnahbar","unsympathisch","53","weiblich","Grüne"
"2022/02/14 12:33:05 PM GMT+1","zukunftsorientiert","familiär","offen","bürgerlich","konservativ","antieuropäisch","rechts","traditionell","29","männlich","Grüne"
"2022/02/14 12:34:14 PM GMT+1","Positiv","Vorausschauend","Optimistisch","Ehrlich","Strikt","Durchsetzungsfähig","Kontrolliert","Unnachgiebig","39","weiblich","FDP"
"2022/02/14 12:34:48 PM GMT+1","freundlich","klug","verantwortungsbewusst","clever","konservativ","altmodisch","unklug","traditionell","38","weiblich","Grüne"
"2022/02/14 12:35:32 PM GMT+1","Familienfreundlich","Zukunftsorientiert","Kinderfreundlich","Traditionell","Xenophob","Rechts","Ausländerfeindlich","Rassistisch","21","männlich","FDP"
"2022/02/14 12:35:38 PM GMT+1","Weitsichtig","Nachhaltig","Patriotisch","Sozial","Realistisch","patriotisch","Sozial","juristisch","57","männlich","SPD"
"2022/02/14 12:37:24 PM GMT+1","Zukunktsorientiert","familienorientiert","fair","integrativ","nationalistisch","ausgrenzend","egoistisch","intolerant","37","männlich","Grüne"
"2022/02/14 12:37:44 PM GMT+1","familienbewusst","zukunftsorienrtiert","klimabewusst","sozial engagiert","nationalistisch","fremdenfeindlich","patriotistisch","rückwärtsgewandt ","20","weiblich","Grüne"
"2022/02/14 12:37:53 PM GMT+1","Zukunftsorientert","Progressiv","Warm","Aktiv","Konservativ","Verschlossen","Ablehnend","Kalt","29","männlich","Grüne"
"2022/02/14 12:38:15 PM GMT+1","Kantenlos","Spricht in Phrasen","Wählbar","Nichtssagend","Konservativ","Alt","Lange regierend","Faktisch korrekt","27","männlich","Grüne;SPD"
"2022/02/14 12:38:47 PM GMT+1","Vorausschauend","Familiär","Zukunftsorientiert ","Charismatisch","wirtschaftsorientiert","streng","ordentlich","konservativ","25","weiblich","FDP"
"2022/02/14 12:38:55 PM GMT+1","Empathisch","Umweltbewusst","Sozial","links","konservativ","engstirnig","rassistisch","altmodisch","21","weiblich","Linke"
"2022/02/14 12:39:00 PM GMT+1","vorausschauend","zukunftsorientiert","uneigennützig","intelligent","exkludierend","abwertend","intolerant","egoistisch","18","keine Angabe","Linke"
"2022/02/14 12:39:27 PM GMT+1","Zukunftsorientiert ","Kinderlieb","Realistisch ","Mutig ","Konservativ ","Rechtsorientiert","Unmodern ","Rückwärtsgewandt ","29","weiblich","Grüne"
"2022/02/14 12:41:07 PM GMT+1","realistisch","zukunftsorient","aufmerksam","offen","selbstsicher","resilient","kleinlich","kritisch","30","weiblich","Grüne"
"2022/02/14 12:41:35 PM GMT+1","Leidenschaftlich","Kinderlieb","Familienorientiert","Nett","Streng","Durchsetzend","Kritisch","Harsch","19","weiblich","Grüne"
"2022/02/14 12:44:44 PM GMT+1","familienfreundlich","gebildet","jung","freundlich","konservativ","reich","privilegiert","engstirnig","26","männlich","Grüne"
"2022/02/14 12:50:52 PM GMT+1","weitsichtig","bürgernah","sympathisch","kalkulierend","rassistisch","meritokratisch","rechts","traditionalistisch","36","männlich","SPD"
"2022/02/14 1:01:55 PM GMT+1","Vorbildlich","Verantwortungsvoll","Realistisch","Ehrlich","Nicht Offen","Streng","Konservativ","Einschüchternd","21","männlich","FDP"
