session_id;participant_id;status;started_datetime;completed_date_time;time_taken;age;num_approvals;num_rejections;prolific_score;reviewed_at_datetime;entered_code;Country of Birth;Current Country of Residence;Employment Status;First Language;Living abroad;Nationality;Sex;Student Status
620a393d80fb942402833d3c;5ff5b79027696804bc79d938;APPROVED;2022-02-14 11:13:04.511000;2022-02-14 11:16:16.710000;192.199;30;192;1;100;2022-02-14 11:58:57.137000;91855C54;Germany;Germany;DATA EXPIRED;German;No;Germany;Female;DATA EXPIRED
620a39dd448b67dc1dba5b24;5fe643de0ad48b4727232bc1;APPROVED;2022-02-14 11:15:45.707000;2022-02-14 11:16:43.347000;57.64;30;298;3;99;2022-02-14 11:58:57.207000;91855C54;Germany;Germany;DATA EXPIRED;German;No;Germany;Male;DATA EXPIRED
620a3b1c7d3309dbdffeb8de;601acb2067409b31ed73ed63;RETURNED;2022-02-14 11:21:03.429000;;5816.379419;29;322;1;100;;;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED
620a3b351396b3f80c3113e6;5d6fda2bde432b0019b19ba7;RETURNED;2022-02-14 11:21:33.943000;;5785.879929;55;450;0;100;;;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED
620a3b5cf71dbbba9838247f;5f75986c7befb820e5497fe2;APPROVED;2022-02-14 11:22:07.052000;2022-02-14 11:23:23.496000;76.444;41;455;1;100;2022-02-14 11:58:57.278000;91855C54;Germany;Germany;Full-Time;German;No;Germany;Male;No
620a3b7de5116647d4be038d;58d4ebdec8677b0001a2107b;APPROVED;2022-02-14 11:22:37.537000;2022-02-14 11:25:33.615000;176.078;37;1022;6;99;2022-02-14 11:58:57.342000;91855C54;Germany;Germany;Unemployed (and job seeking);German;No;Germany;Male;No
620a3b812be31d4220fa2bff;5962799cb752840001ca478b;RETURNED;2022-02-14 11:22:44.637000;;5715.24009;35;740;4;99;;;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED
620a3b9c247872fdb35d1472;56cb572b73cd5b0006f79acd;RETURNED;2022-02-14 11:23:08.450000;;5691.44363;27;758;6;99;;;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED
620a3bb0370317f44e9414f6;610c46d55c57100f5923f2ac;TIMED-OUT;2022-02-14 11:23:31.885000;;5668.028076;19;126;1;100;;;Germany;Germany;DATA EXPIRED;German;No;Germany;Female;DATA EXPIRED
620a3bdd2be31d4220fa2c05;5ff4c46f2b78a5bfb54d2941;APPROVED;2022-02-14 11:24:16.523000;2022-02-14 11:26:43.737000;147.214;29;286;1;100;2022-02-14 11:58:57.445000;91855C54;Germany;Germany;Full-Time;German;No;Germany;Male;No
620a3c5e580172bf491257e2;60fd9feb068001f9ff005df9;RETURNED;2022-02-14 11:26:24.917000;;5495.02768;22;84;1;100;;;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED;CONSENT REVOKED
