attr,dogwhistle,control,difference
konservativ,6,0,6
fokussiert,3,0,3
altruistisch,2,0,2
langweilig,2,0,2
mitdenkend,2,0,2
anpassungsfähig,1,0,1
anständig,1,0,1
aufrichtig,1,0,1
beherrscht,1,0,1
beifallheischend,1,0,1
besonnen,1,0,1
bildungsinteressiert,1,0,1
bodenständig,1,0,1
christlich,1,0,1
durchschnittlich,1,0,1
einfallslos,1,0,1
einfühlsam,1,0,1
engagiert,1,0,1
erfahren,1,0,1
ermutigend,1,0,1
fair,2,1,1
familienbewusstsein,1,0,1
familienmensch,2,1,1
fördernd,1,0,1
glaubhaft,1,0,1
kompetent,1,0,1
logisch,1,0,1
mag kinder,1,0,1
männlich,1,0,1
mittleren alters,1,0,1
nationalistisch,1,0,1
ökonomisch,1,0,1
pathetisch,1,0,1
politische mitte,1,0,1
progressiv,2,1,1
rechts/konservativ,1,0,1
sozial,3,2,1
verantwortungsvoll,2,1,1
verlässlich,1,0,1
vernünftig,1,0,1
verständnisvoll,1,0,1
visionär,1,0,1
vorrausschauend,1,0,1
weich,1,0,1
zukunftsbedacht,1,0,1
zukunftsweisend,1,0,1
zulunftsorientiert,1,0,1
zusammenhaltend,1,0,1
zustimmungheischend,1,0,1
ambitioniert,1,1,0
bürgerlich,1,1,0
heuchlerisch,1,1,0
intelligent,2,2,0
jung,1,1,0
kinderlieb,3,3,0
klug,1,1,0
nachhaltig,1,1,0
patriotisch,1,1,0
realistisch,3,3,0
redegewandt,1,1,0
souverän,1,1,0
stärkend,1,1,0
umweltbewusst,1,1,0
unkonventionell,1,1,0
weitsichtig,3,3,0
zukunftsgewand,1,1,0
zuverlässig,1,1,0
zuversichtlich,1,1,0
familiär,1,2,-1
familienorientiert,1,2,-1
freundlich,1,2,-1
nett,1,2,-1
nichtssagend,1,2,-1
offen,1,2,-1
zukunftsorientiert,8,9,-1
aktiv,0,1,-1
aufmerksam,0,1,-1
bedacht,0,1,-1
bürgernah,0,1,-1
bürgernahe,0,1,-1
charismatisch,0,1,-1
clever,0,1,-1
empathisch,0,1,-1
familienbewusst,0,1,-1
fürsorglich,0,1,-1
integrativ,0,1,-1
kantenlos,0,1,-1
klimabewusst,0,1,-1
leidenschaftlich,0,1,-1
links,0,1,-1
mutig,0,1,-1
optimistisch,0,1,-1
phrasen dreschend,0,1,-1
positiv,0,1,-1
sozial engagiert,0,1,-1
sozialkompetent,0,1,-1
spricht in phrasen,0,1,-1
teamfähig,0,1,-1
traditionell,0,1,-1
überlegt,0,1,-1
überzeugend,0,1,-1
uneigennützig,0,1,-1
verantwortungsbewusst,0,1,-1
vertrauenswürdig,0,1,-1
vorbildlich,0,1,-1
wählbar,0,1,-1
weiblich,0,1,-1
weltoffen,0,1,-1
zukunftsorienrtiert,0,1,-1
zukunftsorient,0,1,-1
zukunftsorientert,0,1,-1
zukunktsorientiert,0,1,-1
zustimmung heischend,0,1,-1
familienfreundlich,0,2,-2
gebildet,0,2,-2
kalkulierend,0,2,-2
kinderfreundlich,0,2,-2
sympathisch,0,2,-2
warm,0,2,-2
ehrlich,1,4,-3
vorausschauend,2,5,-3
