"Timestamp","Wie alt ist Politiker 1?","Wie fortschrittlich ist Politiker 1?","Wie rassistisch ist Politiker 1?","Wie ehrlich ist Politiker 1?","Wie hilfsbereit ist Politiker 1?","Wie intelligent ist Politiker 1?","Wie christlich ist Politiker 1?","Wie freundlich ist Politiker 1?","Zu welcher Partei gehört Politiker 1?","Wie alt ist Politiker 2?","Wie fortschrittlich ist Politiker 2?","Wie rassistisch ist Politiker 2?","Wie ehrlich ist Politiker 2?","Wie hilfsbereit ist Politiker 2?","Wie intelligent ist Politiker 2?","Wie christlich ist Politiker 2?","Wie freundlich ist Politiker 2?","Zu welcher Partei gehört Politiker 2?","Wie alt sind Sie?","Ihr Geschlecht","Was ist Ihr höchster Bildungsabschluss?","Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich folgende Aussage: “Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.”","Wie bewerten Sie persönlich folgende Aussage: “Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.”","Wie bewerten Sie persönlich folgende Aussage: “In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.”","Wie bewerten Sie persönlich folgende Aussage: “Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.”","Wie bewerten Sie persönlich folgende Aussage: “Asyl soll weiterhin nur politisch Verfolgten gewährt werden.”","Haben Sie Kommentare zu unserer Umfrage?"
"2022/02/18 12:06:10 PM GMT+1","60-79","4","2","4","3","3","4","4","AfD","40-59","2","4","2","2","3","2","3","AfD","19","männlich","Abitur","volt","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/02/18 12:08:13 PM GMT+1","20-39","5","1","4","3","5","3","4","SPD","40-59","3","4","3","2","3","3","4","AfD","29","männlich","Realschule","FDP","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",""
"2022/02/18 12:09:36 PM GMT+1","40-59","4","1","4","4","4","3","4","SPD","60-79","3","1","5","3","3","3","2","CDU","25","weiblich","Abitur","Humanistische Partei","Neutral","Neutral","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/02/18 12:12:52 PM GMT+1","20-39","3","3","3","4","4","2","4","Grüne","40-59","2","4","3","2","3","4","2","CDU","21","weiblich","Realschule","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/02/18 12:13:31 PM GMT+1","20-39","4","2","3","4","4","3","4","SPD","40-59","3","2","3","2","4","3","3","CDU","25","männlich","Realschule","Linke","Neutral","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
"2022/02/18 12:14:31 PM GMT+1","40-59","4","1","4","4","4","2","4","SPD","60-79","2","4","2","3","2","4","3","AfD","21","männlich","Abitur","SPD","Ich stimme nicht zu","Neutral","Neutral","Neutral","Ich stimme nicht zu",""
"2022/02/18 12:14:38 PM GMT+1","20-39","5","1","4","3","5","3","4","keine Angabe","60-79","2","4","3","2","3","4","3","AfD","24","weiblich","Studium","keine Angabe","Neutral","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu",""
"2022/02/18 12:15:04 PM GMT+1","20-39","4","2","3","3","4","3","4","SPD","40-59","2","4","3","2","2","2","3","AfD","25","männlich","Abitur","FDP","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme zu","Ich stimme nicht zu",""
"2022/02/18 12:16:20 PM GMT+1","40-59","3","2","2","3","4","4","3","CDU","40-59","1","5","2","2","2","2","2","AfD","22","weiblich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/02/18 12:19:26 PM GMT+1","20-39","4","3","4","4","3","2","4","Grüne","60-79","2","4","3","2","3","4","3","CDU","20","männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/02/18 12:19:51 PM GMT+1","40-59","4","2","4","4","4","3","4","SPD","40-59","3","3","3","3","4","2","3","Grüne","25","weiblich","Studium","Volt","Neutral","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/02/18 12:26:00 PM GMT+1","20-39","3","3","3","3","3","3","3","Grüne","60-79","1","4","3","1","2","4","1","AfD","22","keine Angabe","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/02/18 12:29:46 PM GMT+1","20-39","4","1","4","3","4","3","3","Grüne","40-59","5","1","5","3","5","5","5","AfD","49","männlich","Studium","SPD","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",""
"2022/02/18 12:30:19 PM GMT+1","40-59","4","2","3","2","4","5","4","CDU","60-79","2","5","2","2","2","5","2","AfD","23","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/02/18 12:31:37 PM GMT+1","20-39","4","2","3","3","4","2","4","Grüne","60-79","1","5","2","1","1","5","1","AfD","19","weiblich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/02/18 12:32:14 PM GMT+1","40-59","3","1","2","2","4","5","3","CDU","60-79","1","2","3","1","4","5","2","CDU","28","weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
