"","subj","list","time","page","pprog","pracism","phonesty","phelpful","pintel","pchristian","pfriendly","pparty","age","gender","education","party","wom.refugees","wom.headscarf","wom.citizenship","wom.islam","wom.asylum","comment","sentence","dog.whistle","sentence.label"
"1",1,1,"2022/02/18 10:47:57 AM GMT+1","40-59",4,1,5,3,4,1,4,"FDP",20,"männlich","Abitur","(no answer)","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",NA,1,"Dog whistle","Volk"
"2",1,1,"2022/02/18 10:47:57 AM GMT+1","60-79",2,4,1,1,3,1,1,"AfD",20,"männlich","Abitur","(no answer)","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",NA,2,"Control","deutsches Staatsvolk"
"3",2,1,"2022/02/18 10:48:38 AM GMT+1","40-59",4,1,5,3,4,3,4,"CDU",21,"männlich","Realschule","(no answer)","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme nicht zu",NA,1,"Dog whistle","Volk"
"4",2,1,"2022/02/18 10:48:38 AM GMT+1","40-59",4,2,4,3,5,3,3,"Grüne",21,"männlich","Realschule","(no answer)","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme nicht zu",NA,2,"Control","deutsches Staatsvolk"
"5",3,1,"2022/02/18 10:50:23 AM GMT+1","40-59",4,2,2,3,4,4,3,"CDU",24,"männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,1,"Dog whistle","Volk"
"6",3,1,"2022/02/18 10:50:23 AM GMT+1","60-79",2,4,4,2,3,5,2,"AfD",24,"männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,2,"Control","deutsches Staatsvolk"
"7",4,1,"2022/02/18 10:50:55 AM GMT+1","20-39",4,1,5,3,4,4,4,"SPD",23,"männlich","Abitur","CDU","Ich stimme zu","Ich stimme nicht zu","Neutral","Neutral","Ich stimme zu",NA,1,"Dog whistle","Volk"
"8",4,1,"2022/02/18 10:50:55 AM GMT+1","60-79",3,3,5,2,3,4,3,"CDU",23,"männlich","Abitur","CDU","Ich stimme zu","Ich stimme nicht zu","Neutral","Neutral","Ich stimme zu",NA,2,"Control","deutsches Staatsvolk"
"9",5,1,"2022/02/18 10:52:39 AM GMT+1","40-59",4,4,3,4,4,5,4,"SPD",23,"männlich","Abitur","CDU","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",NA,1,"Dog whistle","Volk"
"10",5,1,"2022/02/18 10:52:39 AM GMT+1","60-79",3,3,4,3,3,5,2,"CDU",23,"männlich","Abitur","CDU","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",NA,2,"Control","deutsches Staatsvolk"
"11",6,1,"2022/02/18 10:52:58 AM GMT+1","40-59",3,2,4,3,3,4,4,"CDU",19,"weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,1,"Dog whistle","Volk"
"12",6,1,"2022/02/18 10:52:58 AM GMT+1","60-79",1,4,3,2,2,4,2,"CDU",19,"weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,2,"Control","deutsches Staatsvolk"
"13",7,1,"2022/02/18 10:54:32 AM GMT+1","60-79",2,3,3,3,3,3,3,"keine Angabe",41,"männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral",NA,1,"Dog whistle","Volk"
"14",7,1,"2022/02/18 10:54:32 AM GMT+1","60-79",2,4,3,3,3,3,3,"keine Angabe",41,"männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral",NA,2,"Control","deutsches Staatsvolk"
"15",8,1,"2022/02/18 10:55:30 AM GMT+1","40-59",4,1,5,4,4,3,4,"CDU",59,"weiblich","Realschule","SPD","Neutral","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Ich stimme zu",NA,1,"Dog whistle","Volk"
