participantID,age,gender,education,migration,ethnicity,partyChoice,womNachzug,womKopftuch,womStaatsangehoerigkeit,womIslam,womAsyl,response,party,item,dw
2,39,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,AfD,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,3,afd,rechspopulistisch,dw
2,39,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,AfD,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,3,gruen,neuzugezogen,ndw
2,39,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,AfD,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,1,spd,mutter,control
2,39,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,AfD,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,3,afd,muslime,ndw
2,39,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,AfD,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,1,gruen,asylindustrie,dw
2,39,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,AfD,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,3,spd,fachkraeftemangel,control
2,39,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,AfD,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,2,afd,fluchtursachen,dw
2,39,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,AfD,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,5,gruen,heimat,ndw
2,39,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,AfD,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,3,afd,fatal,ndw
2,39,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,AfD,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,2,spd,kriminell,control
2,39,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,AfD,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,4,gruen,inlaenderfreundlich,dw
2,39,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,AfD,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,3,afd,nationalstaat,dw
2,39,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,AfD,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,4,gruen,renten,ndw
2,39,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,AfD,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,5,spd,mehrwert,control
3,28,Männlich,Abitur,Nein,Weiß,SPD,Ich stimme nicht zu,Neutral,Neutral,Neutral,Ich stimme nicht zu,3,afd,rechspopulistisch,dw
3,28,Männlich,Abitur,Nein,Weiß,SPD,Ich stimme nicht zu,Neutral,Neutral,Neutral,Ich stimme nicht zu,1,gruen,neuzugezogen,ndw
3,28,Männlich,Abitur,Nein,Weiß,SPD,Ich stimme nicht zu,Neutral,Neutral,Neutral,Ich stimme nicht zu,1,spd,mutter,control
3,28,Männlich,Abitur,Nein,Weiß,SPD,Ich stimme nicht zu,Neutral,Neutral,Neutral,Ich stimme nicht zu,5,afd,muslime,ndw
3,28,Männlich,Abitur,Nein,Weiß,SPD,Ich stimme nicht zu,Neutral,Neutral,Neutral,Ich stimme nicht zu,1,gruen,asylindustrie,dw
3,28,Männlich,Abitur,Nein,Weiß,SPD,Ich stimme nicht zu,Neutral,Neutral,Neutral,Ich stimme nicht zu,5,spd,fachkraeftemangel,control
3,28,Männlich,Abitur,Nein,Weiß,SPD,Ich stimme nicht zu,Neutral,Neutral,Neutral,Ich stimme nicht zu,3,afd,fluchtursachen,dw
3,28,Männlich,Abitur,Nein,Weiß,SPD,Ich stimme nicht zu,Neutral,Neutral,Neutral,Ich stimme nicht zu,3,gruen,heimat,ndw
3,28,Männlich,Abitur,Nein,Weiß,SPD,Ich stimme nicht zu,Neutral,Neutral,Neutral,Ich stimme nicht zu,3,afd,fatal,ndw
3,28,Männlich,Abitur,Nein,Weiß,SPD,Ich stimme nicht zu,Neutral,Neutral,Neutral,Ich stimme nicht zu,3,spd,kriminell,control
3,28,Männlich,Abitur,Nein,Weiß,SPD,Ich stimme nicht zu,Neutral,Neutral,Neutral,Ich stimme nicht zu,1,gruen,inlaenderfreundlich,dw
3,28,Männlich,Abitur,Nein,Weiß,SPD,Ich stimme nicht zu,Neutral,Neutral,Neutral,Ich stimme nicht zu,2,afd,nationalstaat,dw
3,28,Männlich,Abitur,Nein,Weiß,SPD,Ich stimme nicht zu,Neutral,Neutral,Neutral,Ich stimme nicht zu,1,gruen,renten,ndw
3,28,Männlich,Abitur,Nein,Weiß,SPD,Ich stimme nicht zu,Neutral,Neutral,Neutral,Ich stimme nicht zu,5,spd,mehrwert,control
1,33,Männlich,Abitur,Nein,Weiß,Grüne,Neutral,Neutral,Neutral,Neutral,Neutral,2,afd,rechspopulistisch,dw
1,33,Männlich,Abitur,Nein,Weiß,Grüne,Neutral,Neutral,Neutral,Neutral,Neutral,2,gruen,neuzugezogen,ndw
1,33,Männlich,Abitur,Nein,Weiß,Grüne,Neutral,Neutral,Neutral,Neutral,Neutral,2,spd,mutter,control
1,33,Männlich,Abitur,Nein,Weiß,Grüne,Neutral,Neutral,Neutral,Neutral,Neutral,4,afd,muslime,ndw
1,33,Männlich,Abitur,Nein,Weiß,Grüne,Neutral,Neutral,Neutral,Neutral,Neutral,2,gruen,asylindustrie,dw
1,33,Männlich,Abitur,Nein,Weiß,Grüne,Neutral,Neutral,Neutral,Neutral,Neutral,3,spd,fachkraeftemangel,control
1,33,Männlich,Abitur,Nein,Weiß,Grüne,Neutral,Neutral,Neutral,Neutral,Neutral,2,afd,fluchtursachen,dw
1,33,Männlich,Abitur,Nein,Weiß,Grüne,Neutral,Neutral,Neutral,Neutral,Neutral,3,gruen,heimat,ndw
1,33,Männlich,Abitur,Nein,Weiß,Grüne,Neutral,Neutral,Neutral,Neutral,Neutral,3,afd,fatal,ndw
1,33,Männlich,Abitur,Nein,Weiß,Grüne,Neutral,Neutral,Neutral,Neutral,Neutral,2,spd,kriminell,control
1,33,Männlich,Abitur,Nein,Weiß,Grüne,Neutral,Neutral,Neutral,Neutral,Neutral,3,gruen,inlaenderfreundlich,dw
1,33,Männlich,Abitur,Nein,Weiß,Grüne,Neutral,Neutral,Neutral,Neutral,Neutral,3,afd,nationalstaat,dw
1,33,Männlich,Abitur,Nein,Weiß,Grüne,Neutral,Neutral,Neutral,Neutral,Neutral,2,gruen,renten,ndw
1,33,Männlich,Abitur,Nein,Weiß,Grüne,Neutral,Neutral,Neutral,Neutral,Neutral,4,spd,mehrwert,control
4,21,Männlich,Hauptschule,"Ja, ich bin nach Deutschland migriert.",Weiß,AfD,Neutral,Ich stimme zu,Neutral,Neutral,Ich stimme zu,2,afd,rechspopulistisch,dw
4,21,Männlich,Hauptschule,"Ja, ich bin nach Deutschland migriert.",Weiß,AfD,Neutral,Ich stimme zu,Neutral,Neutral,Ich stimme zu,2,gruen,neuzugezogen,ndw
4,21,Männlich,Hauptschule,"Ja, ich bin nach Deutschland migriert.",Weiß,AfD,Neutral,Ich stimme zu,Neutral,Neutral,Ich stimme zu,3,spd,mutter,control
4,21,Männlich,Hauptschule,"Ja, ich bin nach Deutschland migriert.",Weiß,AfD,Neutral,Ich stimme zu,Neutral,Neutral,Ich stimme zu,4,afd,muslime,ndw
4,21,Männlich,Hauptschule,"Ja, ich bin nach Deutschland migriert.",Weiß,AfD,Neutral,Ich stimme zu,Neutral,Neutral,Ich stimme zu,2,gruen,asylindustrie,dw
4,21,Männlich,Hauptschule,"Ja, ich bin nach Deutschland migriert.",Weiß,AfD,Neutral,Ich stimme zu,Neutral,Neutral,Ich stimme zu,5,spd,fachkraeftemangel,control
4,21,Männlich,Hauptschule,"Ja, ich bin nach Deutschland migriert.",Weiß,AfD,Neutral,Ich stimme zu,Neutral,Neutral,Ich stimme zu,3,afd,fluchtursachen,dw
4,21,Männlich,Hauptschule,"Ja, ich bin nach Deutschland migriert.",Weiß,AfD,Neutral,Ich stimme zu,Neutral,Neutral,Ich stimme zu,3,gruen,heimat,ndw
4,21,Männlich,Hauptschule,"Ja, ich bin nach Deutschland migriert.",Weiß,AfD,Neutral,Ich stimme zu,Neutral,Neutral,Ich stimme zu,2,afd,fatal,ndw
