"Timestamp","Wie alt ist Politiker 1?","Wie fortschrittlich ist Politiker 1?","Wie rassistisch ist Politiker 1?","Wie ehrlich ist Politiker 1?","Wie hilfsbereit ist Politiker 1?","Wie intelligent ist Politiker 1?","Wie christlich ist Politiker 1?","Wie freundlich ist Politiker 1?","Zu welcher Partei gehört Politiker 1?","Wie alt ist Politiker 2?","Wie fortschrittlich ist Politiker 2?","Wie rassistisch ist Politiker 2?","Wie ehrlich ist Politiker 2?","Wie hilfsbereit ist Politiker 2?","Wie intelligent ist Politiker 2?","Wie christlich ist Politiker 2?","Wie freundlich ist Politiker 2?","Zu welcher Partei gehört Politiker 2?","Wie alt sind Sie?","Ihr Geschlecht","Was ist Ihr höchster Bildungsabschluss?","Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich folgende Aussage: “Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.”","Wie bewerten Sie persönlich folgende Aussage: “Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.”","Wie bewerten Sie persönlich folgende Aussage: “In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.”","Wie bewerten Sie persönlich folgende Aussage: “Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.”","Wie bewerten Sie persönlich folgende Aussage: “Asyl soll weiterhin nur politisch Verfolgten gewährt werden.”","Haben Sie Kommentare zu unserer Umfrage?"
"2022/05/09 10:40:48 AM GMT+2","40-59","4","2","3","4","4","3","4","SPD","20-39","4","1","3","4","3","3","4","Grüne","24","divers","kein Abschluss","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
"2022/05/09 11:00:47 AM GMT+2","40-59","3","1","3","3","3","3","3","CDU","40-59","3","3","3","3","3","2","3","CDU","29","männlich","Studium","FDP","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme zu",""
"2022/05/09 11:05:10 AM GMT+2","40-59","2","5","3","2","3","5","2","CDU","40-59","3","2","4","3","3","3","3","SPD","28","weiblich","Studium","Linke","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme zu","Neutral",""
"2022/05/09 11:11:07 AM GMT+2","20-39","4","2","4","4","3","3","3","CDU","40-59","4","2","4","4","4","3","4","CDU","23","weiblich","Abitur","SPD","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Neutral",""
"2022/05/09 11:11:31 AM GMT+2","40-59","3","2","2","3","3","3","3","CDU","40-59","4","2","3","4","3","2","4","SPD","30","männlich","Studium","Grüne","Neutral","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",""
"2022/05/09 11:14:48 AM GMT+2","40-59","2","1","1","3","3","3","4","CDU","40-59","4","1","3","4","4","4","4","Linke","21","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/09 11:17:15 AM GMT+2","40-59","2","4","3","2","2","4","2","CDU","20-39","4","2","3","3","3","2","4","SPD","27","männlich","Studium","Grüne","Neutral","Ich stimme zu","Neutral","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/09 11:20:59 AM GMT+2","40-59","3","3","2","2","3","4","3","SPD","20-39","4","2","3","3","3","2","4","Grüne","25","weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/05/09 11:21:53 AM GMT+2","20-39","3","2","3","3","3","2","3","CDU","20-39","4","2","3","4","3","3","3","SPD","33","männlich","Abitur","keine Angabe","Neutral","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
"2022/05/09 11:22:02 AM GMT+2","60-79","3","2","2","3","4","4","3","SPD","20-39","5","1","3","5","4","2","5","Grüne","31","weiblich","Betriebswirt ","Grüne","Neutral","Ich stimme zu","Neutral","Ich stimme nicht zu","Ich stimme nicht zu",""
