"Timestamp","Wie widersprüchlich ist diese Aussage?","Wie widersprüchlich ist diese Aussage?","Wie widersprüchlich ist diese Aussage?","Wie alt sind Sie?","Ihr Geschlecht","Was ist Ihr höchster Bildungsabschluss?","Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich folgende Aussage: “Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.”","Wie bewerten Sie persönlich folgende Aussage: “Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.”","Wie bewerten Sie persönlich folgende Aussage: “In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.”","Wie bewerten Sie persönlich folgende Aussage: “Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.”","Wie bewerten Sie persönlich folgende Aussage: “Asyl soll weiterhin nur politisch Verfolgten gewährt werden.”","Haben Sie Kommentare zu unserer Umfrage?"
"2022/05/12 9:51:43 AM GMT+2","4","2","3","21","weiblich","Realschule","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/12 9:58:49 AM GMT+2","4","5","2","21","männlich","Abitur","Volt","Ich stimme nicht zu","Ich stimme nicht zu","Neutral","Ich stimme zu","Ich stimme zu",""
"2022/05/12 10:01:48 AM GMT+2","3","1","3","28","männlich","Studium","keine Angabe","Neutral","Neutral","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",""
"2022/05/12 10:02:49 AM GMT+2","5","1","1","37","männlich","Abitur","keine Angabe","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/05/12 10:09:48 AM GMT+2","5","1","3","21","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/12 10:13:01 AM GMT+2","3","3","4","38","männlich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/12 10:13:59 AM GMT+2","5","1","1","47","männlich","Abitur","keine Angabe","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Neutral","Ich stimme zu",""
"2022/05/12 10:20:26 AM GMT+2","5","1","1","22","weiblich","Abitur","SPD","Neutral","Neutral","Neutral","Ich stimme nicht zu","Neutral",""
"2022/05/12 10:20:55 AM GMT+2","4","2","2","27","männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/05/12 10:23:32 AM GMT+2","5","2","3","23","weiblich","Studium","Grüne","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/05/12 10:23:43 AM GMT+2","5","1","4","22","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
"2022/05/12 10:25:34 AM GMT+2","4","2","1","27","männlich","Realschule","FDP","Neutral","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu",""
"2022/05/12 10:29:15 AM GMT+2","3","3","2","32","männlich","Studium","keine Angabe","Neutral","Neutral","Ich stimme zu","Ich stimme zu","Ich stimme zu",""
"2022/05/12 10:31:40 AM GMT+2","5","1","2","34","männlich","Studium","keine Angabe","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
"2022/05/12 10:33:17 AM GMT+2","5","2","4","37","weiblich","Abitur","SPD","Neutral","Ich stimme nicht zu","Neutral","Neutral","Ich stimme zu",""
"2022/05/12 10:33:29 AM GMT+2","4","1","1","33","männlich","Abitur","keine Angabe","Neutral","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",""
"2022/05/12 10:33:47 AM GMT+2","5","1","2","34","weiblich","Studium","Die Partei","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/12 10:34:47 AM GMT+2","4","2","1","22","weiblich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/12 10:35:02 AM GMT+2","5","2","1","37","männlich","Studium","Grüne","Ich stimme nicht zu","Neutral","Ich stimme zu","Ich stimme zu","Neutral",""
