"Timestamp","Wie widersprüchlich ist Politiker 1?","Wie widersprüchlich ist Politiker 2?","Wie widersprüchlich ist Politiker 3?","Wie alt sind Sie?","Ihr Geschlecht","Was ist Ihr höchster Bildungsabschluss?","Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich folgende Aussage: “Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.”","Wie bewerten Sie persönlich folgende Aussage: “Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.”","Wie bewerten Sie persönlich folgende Aussage: “In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.”","Wie bewerten Sie persönlich folgende Aussage: “Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.”","Wie bewerten Sie persönlich folgende Aussage: “Asyl soll weiterhin nur politisch Verfolgten gewährt werden.”","Haben Sie Kommentare zu unserer Umfrage?"
"2022/05/31 11:49:58 AM GMT+2","5","1","2","21","weiblich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/31 12:08:03 PM GMT+2","5","1","4","20","weiblich","Abitur","Die Partei","Neutral","Ich stimme zu","Neutral","Ich stimme zu","Neutral",""
"2022/05/31 12:14:34 PM GMT+2","5","1","3","24","weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu",""
"2022/05/31 12:22:01 PM GMT+2","5","1","2","28","weiblich","Studium","FDP","Neutral","Neutral","Ich stimme zu","Neutral","Neutral",""
"2022/05/31 12:22:19 PM GMT+2","5","2","2","26","weiblich","Studium","Grüne","Neutral","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme zu",""
"2022/05/31 12:27:50 PM GMT+2","5","1","1","53","männlich","Abitur","CDU","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Neutral",""
"2022/05/31 12:28:25 PM GMT+2","5","1","3","19","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/05/31 12:30:56 PM GMT+2","5","5","3","32","männlich","Studium","keine Angabe","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Neutral","Ich stimme zu",""
"2022/05/31 12:44:53 PM GMT+2","5","1","2","22","divers","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/31 12:47:06 PM GMT+2","5","1","1","19","männlich","Abitur","FDP","Ich stimme nicht zu","Neutral","Ich stimme zu","Ich stimme zu","Ich stimme zu",""
"2022/05/31 12:49:53 PM GMT+2","5","1","4","23","divers","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/31 12:53:26 PM GMT+2","5","1","1","38","männlich","Studium","AfD","Neutral","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",""
"2022/05/31 12:57:09 PM GMT+2","5","4","1","49","männlich","Studium","SPD","Ich stimme zu","Neutral","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",""
"2022/05/31 12:57:54 PM GMT+2","5","1","1","24","weiblich","Abitur","SPD","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/31 12:58:01 PM GMT+2","5","1","3","25","männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme nicht zu","Neutral","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/31 1:09:44 PM GMT+2","5","1","1","27","männlich","Realschule","FDP","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu",""
"2022/05/31 1:12:29 PM GMT+2","5","1","2","22","männlich","Realschule","Die PARTEI","Neutral","Neutral","Ich stimme zu","Neutral","Neutral",""
"2022/05/31 1:20:22 PM GMT+2","5","1","2","25","männlich","Abitur","keine Angabe","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Bei der Frage welche Partei ich wählen würde kann ich gerade keine Angabe machen, weil ich gerade nicht wählen würde. Ich schreibe das hier weil ich vermute dass der Sinn hinter der Frage die grobe politische Richtung der Befragten ist. Bei der letzten BTW habe ich die Linke gewählt und würde das jetzt nicht mehr tun wegen sowohl innerparteilichen Konflikten als auch die Außenpolitische Haltung einiger einflussreichen Personen in der Partei. Idealerweise würde ich eine demokratisch-sozialistische Partei wählen, es gibt in Deutschland nur keine die meinen Ansprüchen entspricht."
"2022/05/31 1:20:33 PM GMT+2","5","1","2","19","männlich","Abitur","keine Angabe","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
"2022/09/19 3:59:34 PM GMT+2","5","1","4","29","männlich","Abitur","Die Partei","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Neutral",""
"2022/09/19 4:37:41 PM GMT+2","5","1","1","22","männlich","Abitur","Grüne","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/09/19 4:41:30 PM GMT+2","5","1","1","28","männlich","Realschule","Linke","Neutral","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",""
