"Timestamp","Wie widersprüchlich ist Politiker 1?","Wie widersprüchlich ist Politiker 2?","Wie widersprüchlich ist Politiker 3?","Wie alt sind Sie?","Ihr Geschlecht","Was ist Ihr höchster Bildungsabschluss?","Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich folgende Aussage: “Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.”","Wie bewerten Sie persönlich folgende Aussage: “Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.”","Wie bewerten Sie persönlich folgende Aussage: “In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.”","Wie bewerten Sie persönlich folgende Aussage: “Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.”","Wie bewerten Sie persönlich folgende Aussage: “Asyl soll weiterhin nur politisch Verfolgten gewährt werden.”","Haben Sie Kommentare zu unserer Umfrage?"
"2022/05/31 8:29:53 AM GMT+2","5","1","3","25","männlich","Abitur","SPD","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu",""
"2022/05/31 8:31:40 AM GMT+2","5","1","1","34","männlich","Abitur","FDP","Neutral","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral","Nein"
"2022/05/31 8:37:33 AM GMT+2","5","1","2","22","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/31 8:47:47 AM GMT+2","5","1","1","57","männlich","Studium","SPD","Ich stimme nicht zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu",""
"2022/05/31 8:54:15 AM GMT+2","5","1","1","31","männlich","Abitur","Grüne","Neutral","Ich stimme zu","Neutral","Neutral","Neutral","An ein paar Stellen steht ""wiedersprüchlich"" ^^ Sonst alles super"
"2022/05/31 9:01:11 AM GMT+2","4","1","1","21","männlich","Realschule","Freie Wähler","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme zu",""
"2022/05/31 9:05:47 AM GMT+2","5","1","3","33","weiblich","Abitur","keine Angabe","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Neutral",""
"2022/05/31 9:07:54 AM GMT+2","5","1","3","32","männlich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
"2022/05/31 9:08:09 AM GMT+2","5","1","1","34","weiblich","Studium","Grüne","Ich stimme nicht zu","Neutral","Neutral","Ich stimme nicht zu","Ich stimme nicht zu",""
"2022/05/31 9:10:41 AM GMT+2","5","1","2","39","männlich","Studium","SPD","Neutral","Ich stimme zu","Neutral","Ich stimme zu","Neutral",""
"2022/05/31 9:15:09 AM GMT+2","5","1","1","25","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme zu","Neutral",""
"2022/05/31 9:15:39 AM GMT+2","5","1","1","21","männlich","Fachoberschulreife in Wirtschaft und Verwaltung","ungültig","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","keine"
"2022/05/31 9:16:59 AM GMT+2","5","1","2","20","männlich","Abitur","Grüne","Ich stimme nicht zu","Neutral","Neutral","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/31 9:19:19 AM GMT+2","5","1","1","37","männlich","Studium","AfD","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme zu",""
"2022/05/31 9:22:08 AM GMT+2","5","1","4","65","weiblich","Studium","Grüne","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Neutral",""
"2022/05/31 9:22:12 AM GMT+2","5","1","1","27","männlich","Realschule","Grüne","Neutral","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme zu",""
"2022/05/31 9:23:10 AM GMT+2","4","1","2","21","weiblich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/31 9:23:35 AM GMT+2","5","1","4","22","weiblich","Abitur","CDU","Neutral","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme zu",""
