"Timestamp","Wie widersprüchlich ist Politiker 1?","Wie widersprüchlich ist Politiker 2?","Wie widersprüchlich ist Politiker 3?","Wie alt sind Sie?","Ihr Geschlecht","Was ist Ihr höchster Bildungsabschluss?","Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich folgende Aussage: “Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.”","Wie bewerten Sie persönlich folgende Aussage: “Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.”","Wie bewerten Sie persönlich folgende Aussage: “In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.”","Wie bewerten Sie persönlich folgende Aussage: “Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.”","Wie bewerten Sie persönlich folgende Aussage: “Asyl soll weiterhin nur politisch Verfolgten gewährt werden.”","Haben Sie Kommentare zu unserer Umfrage?"
"2022/05/30 2:20:26 PM GMT+2","5","1","1","21","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
"2022/05/30 2:21:52 PM GMT+2","5","1","2","20","weiblich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/05/30 2:33:01 PM GMT+2","5","1","2","30","männlich","Studium","Grüne","Ich stimme nicht zu","Neutral","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/05/30 2:34:14 PM GMT+2","5","1","3","39","weiblich","Abitur","Grüne","Ich stimme nicht zu","Neutral","Neutral","Neutral","Neutral",""
"2022/05/30 2:36:02 PM GMT+2","4","1","1","19","männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/30 2:37:20 PM GMT+2","5","1","3","23","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu",""
"2022/05/30 2:38:31 PM GMT+2","5","1","3","39","weiblich","Studium","Grüne","Neutral","Ich stimme zu","Neutral","Ich stimme zu","Neutral",""
"2022/05/30 2:40:23 PM GMT+2","5","1","1","21","männlich","Realschule","SPD","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/30 2:43:07 PM GMT+2","5","1","1","23","männlich","Hauptschule","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme zu",""
"2022/05/30 2:43:38 PM GMT+2","5","1","1","59","weiblich","Realschule","SPD","Ich stimme zu","Ich stimme nicht zu","Neutral","Neutral","Ich stimme zu",""
"2022/05/30 2:44:08 PM GMT+2","5","1","2","45","männlich","Realschule","Grüne","Ich stimme nicht zu","Neutral","Neutral","Neutral","Ich stimme zu",""
"2022/05/30 2:44:09 PM GMT+2","5","1","1","22","weiblich","Abitur","Grüne","Neutral","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
"2022/05/30 2:44:38 PM GMT+2","5","1","1","18","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/05/30 2:45:59 PM GMT+2","5","1","2","55","männlich","Hauptschule","SPD","Ich stimme nicht zu","Ich stimme nicht zu","Neutral","Neutral","Ich stimme nicht zu",""
"2022/05/30 2:48:45 PM GMT+2","5","1","2","24","divers","kein Abschluss","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/05/30 2:49:52 PM GMT+2","5","1","2","20","männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
"2022/05/30 2:51:21 PM GMT+2","5","1","1","21","männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme zu",""
"2022/05/30 2:53:10 PM GMT+2","5","1","1","41","männlich","Promotion","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/05/30 2:53:10 PM GMT+2","5","1","4","24","männlich","Abitur","Piraten Partei","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
