"","time","age","gender","education","party","wom.refugees","wom.headscarf","wom.citizenship","wom.islam","wom.asylum","comment","list","subj","item","rating","item.string","item.type","pair"
"1","2022/05/30 2:20:26 PM GMT+2",21,"weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,"1",1,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"2","2022/05/30 2:20:26 PM GMT+2",21,"weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,"1",1,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"3","2022/05/30 2:20:26 PM GMT+2",21,"weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,"1",1,"target",1,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"4","2022/05/30 2:21:52 PM GMT+2",20,"weiblich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,"1",2,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"5","2022/05/30 2:21:52 PM GMT+2",20,"weiblich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,"1",2,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"6","2022/05/30 2:21:52 PM GMT+2",20,"weiblich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,"1",2,"target",2,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"7","2022/05/30 2:33:01 PM GMT+2",30,"männlich","Studium","Grüne","Ich stimme nicht zu","Neutral","Ich stimme zu","Ich stimme zu","Neutral",NA,"1",3,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"8","2022/05/30 2:33:01 PM GMT+2",30,"männlich","Studium","Grüne","Ich stimme nicht zu","Neutral","Ich stimme zu","Ich stimme zu","Neutral",NA,"1",3,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"9","2022/05/30 2:33:01 PM GMT+2",30,"männlich","Studium","Grüne","Ich stimme nicht zu","Neutral","Ich stimme zu","Ich stimme zu","Neutral",NA,"1",3,"target",2,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"10","2022/05/30 2:34:14 PM GMT+2",39,"weiblich","Abitur","Grüne","Ich stimme nicht zu","Neutral","Neutral","Neutral","Neutral",NA,"1",4,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"11","2022/05/30 2:34:14 PM GMT+2",39,"weiblich","Abitur","Grüne","Ich stimme nicht zu","Neutral","Neutral","Neutral","Neutral",NA,"1",4,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"12","2022/05/30 2:34:14 PM GMT+2",39,"weiblich","Abitur","Grüne","Ich stimme nicht zu","Neutral","Neutral","Neutral","Neutral",NA,"1",4,"target",3,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"13","2022/05/30 2:36:02 PM GMT+2",19,"männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme zu","Ich stimme nicht zu",NA,"1",5,"control.c",4,"control.c","control.c","Kampf für Deutschland"
"14","2022/05/30 2:36:02 PM GMT+2",19,"männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme zu","Ich stimme nicht zu",NA,"1",5,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"15","2022/05/30 2:36:02 PM GMT+2",19,"männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme zu","Ich stimme nicht zu",NA,"1",5,"target",1,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"16","2022/05/30 2:37:20 PM GMT+2",23,"weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu",NA,"1",6,"control.c",5,"control.c","control.c","Kampf für Deutschland"
